( 4 ,  punch for wood , {'wood': 1} )
( 1 ,  craft plank , {'plank': 4} )
( 1 ,  craft bench , {'bench': 1} )
( 4 ,  punch for wood , {'wood': 1} )
( 1 ,  craft plank , {'plank': 4} )
( 4 ,  punch for wood , {'wood': 1} )
( 1 ,  craft plank , {'plank': 4} )
( 1 ,  craft stick , {'stick': 4} )
( 1 ,  craft wooden_pickaxe at bench , {'wooden_pickaxe': 1} )
( 4 ,  wooden_pickaxe for cobble , {'cobble': 1} )
( 4 ,  wooden_pickaxe for cobble , {'cobble': 1} )
( 4 ,  wooden_pickaxe for cobble , {'cobble': 1} )
( 4 ,  punch for wood , {'wood': 1} )
( 1 ,  craft plank , {'plank': 4} )
( 1 ,  craft stick , {'stick': 4} )
( 1 ,  craft stone_pickaxe at bench , {'stone_pickaxe': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
( 4 ,  stone_pickaxe for ore , {'ore': 1} )
